name,long_description,short_description
dragonite,"Marrón, Dragonite es un Pokémon dragón, conocido como el ""Avatar del Mar"". Posee un amplio set de movimientos, puede volar, lanzar fuego, agua, hielo y/o electricidad. Tiene una inteligencia cercana a la humana.",
drakloak,"Verde, Drakloak está basado en el antiguo anfibio Diplocaulus, ahora extinto. Su cuerpo es más grande y es de un color más oscuro, a diferencia de su preevolución, y sus extremidades están mas desarrolladas. Siempre lleva a un Dreepy en su cabeza.",
drampa,"Blanco, Drampa está basado en un dragón chino y en un hombre de edad avanzada. La mayor parte de su cuerpo es de un color azul verdoso, a excepción de su parte inferior, que es verde claro. Su cuerpo presenta varias zonas de mechones de pelo blanco que le dan aspecto de viejo: su cabeza, una especie de bigote, la cola y la parte inferior del cuerpo. Sus ojos son de color rosa y sus cejas amarillas.",
drapion,"Morado, Drapion, también conocido como escorpión venenoso, posee unas potentes pinzas con las que agarra a su presa para después inyectarle su veneno letal que expulsa a través de estas. Es carnívoro, de gran tamaño y vive en zonas pantanosas, semidesérticas y cuevas. Drapion puede estirar sus brazos y cola para sujetar a su presa, también puede girar su torso 180 grados, tanto a la derecha como a la izquierda, pudiendo buscar a los enemigos en todas las direcciones. ",
dratini,"Azul, Dratini está basado en una serpiente marina mitológica.",
drednaw,"Azul, Drednaw está basado en una tortuga caimán. Su musculoso y escamoso cuerpo tiene un color azulado, con la mandíbula inferior y el pecho claros. El caparazón marrón de su espalda es rocoso, y también cuenta con afiladas rocas en la cabeza a modo de cuerno, sus brazos, y la cola.",
dreepy,"Verde, Dreepy está basado en el antiguo anfibio Diplocaulus, ahora extinto. Su cuerpo es de color verde claro y tiene forma de dardo o flecha. Solamente posee las dos extremidades delanteras, haciendo referencia a los fantasmas, que por lo general no poseen piernas.",
drifblim,"Morado, Drifblim está basado en un globo aerostático. En general, son Pokémon tímidos que huyen de las grandes multitudes de gente, por lo tanto es difícil ver Drifblim salvajes, a diferencia de su preevolución. Esto se debe a que vuelan a elevadas alturas, pero cuando lo hacen, suelen ser muy pocos Drifblim, generalmente uno, y varios Drifloon. Esto se puede observar en El desafío de Darkrai (ES) / El surgimiento de Darkrai (HA).",
drifloon,"Morado, Los Drifloon son capaces de transportar personas si se agarran a sus extremos inferiores a alturas no muy elevadas. Su forma de flotar sin rumbo fijo aparente algunas veces le ha ganado el sobrenombre del Pokémon «aeroerrático». Están compuestos de espíritus de personas y Pokémon pues esa es la razón de que la masa blanca se forme porque sin ella, el aire de su cuerpo escaparía.",
drilbur,"Gris, Drilbur está basado en un pequeño topo. Su cuerpo es de color negro con franjas irregulares azul marino y en sus brazos dispone de unas enormes garras afiladas. Tiene su cara blanca con un hocico largo pero se inclina por su nariz rosa. Sus ojos están en la base de su nariz a cada lado. Los brazos de Drilbur son anchos y delgados con una mancha azul en sus palmas. Carece de manos tradicionales, ya que sus brazos se forman directamente en sus tres garras extremadamente grandes. Tiene una cola muy pequeña y gruesa.",
drizzile,"Azul, Drizzile está basado en un camaleón.",
drowzee,"Amarillo, Drowzee está basado en el animal mitológico japonés Baku, con el cual comparte el aspecto físico y su habilidad para comer sueños. También posee similitudes con un tapir malayo.",
druddigon,"Rojo, Druddigon está basado en un lagarto de fuego.",
dubwool,"Blanco, Dubwool está basado en un carnero de la raza loaghtan manés originaria de Escocia, caracterizado por poseer de cuatro a seis cuernos en su cabeza en lugar de dos, y los colores de su lana son de varias tonalidades de marrón y gris. Dubwool es un Pokémon cuadrúpedo, cuyas patas tienen una tonalidad marrón al igual que su cola y gran parte de su cabeza, la cual solo tiene una pequeña mancha blanca, en contraste, la lana que cubre su cuerpo es mayormente blanca y solo en una pequeña parte se ven manchas de color marrón. Por su parte, en su cuello se destaca un anillo de lana gris.",
ducklett,"Azul, Ducklett está basado en una cría de cisne y en el cuento El patito feo, ya que en su primera etapa es un patito, pero al evolucionar sufre un cambio a cisne y se vuelve hermoso. Ducklett tiene un plumaje azul claro y en la parte de abajo de su cuerpo, este plumaje se vuelve un suave plumón azul oscuro con forma de flotador, además de tener un mechón de plumas sobre su cabeza.",
dugtrio,"Marrón, La biología de este Pokémon no está nada clara. Algunas descripciones afirman que es un ser que tiene tres cabezas, mientras en otras se especifica que son tres trillizos Diglett que cavan juntos. No es posible verificar una u otra porque al igual que con su preevolución, Diglett, no se conoce en absoluto como es la apariencia de estos Pokémon bajo tierra. También se desconoce la función de los órganos que tienen en medio de la cara, si bien se presupone que son hocicos o narices que le ayudan a cavar. Se puede decir que Dugtrio al igual que su preevolución están basados en un topo y en el popular juego de arcade Whac-A-Mole donde tienes que golpear a una cabeza de un animal que sale de un agujero con un mazo de goma, generalmente es un topo y se mueve a grandes velocidades, otra característica que comparte con este Pokémon.",
dunsparce,"Amarillo, Esta basado en un tsuchinoko, un animal mitológico japonés que se parece vagamente a una víbora. También guarda semejanza con un gecko leopardo por sus hábitos y la forma de su cuerpo, aunque es ápodo.",
duosion,"Verde, Duosion está basado en una célula en pleno proceso de mitosis.",
duraludon,"Blanco, Duraludon esta basado en varios conceptos, su forma normal es la de un dragón acorazado, pero, tomando en cuenta su rivalidad con Tyranitar, podría basarse en Mechagodzilla. Su forma Gigamax se basa en un rascacielos, específicamente en The Shard, el edificio más alto de Reino Unido. ",
durant,"Gris, Durant está basado en una hormiga argentina recubierta de una coraza metálica.",
dusclops,"Negro, Dusclops está basado en una momia y en un hitotsume-kozō, un fantasma cíclope del folclore japonés.",
dusknoir,"Negro, Está inspirado en un Yamawarawa (el equivalente a los cíclopes en Japón), y su habilidad de recibir señales de radio está basada en las Psicofonías.",
duskull,"Negro, Duskull esta inspirado en la Parca y en los Bogeyman, que son espectros que asustan o secuestran niños. Su cuerpo está formado por una túnica negra con dos huesos en la parte trasera. Su cara está formada por una calavera, entre cuyas cuencas oculares se mueve su único ojo rojo. Habitualmente lleva sus brazos a la espalda al desplazarse.",
dustox,"Verde, Dustox es un Pokémon nocturno, su hábitat natural son las mismas calles de las ciudades, siendo atraído por las luces urbanas este Pokémon disfruta de alimentarse de hojas secas las cuales son arrastradas por el aire en bulevares y callejones oscuros.",
dwebble,"Rojo, Dwebble está basado en un cangrejo ermitaño. Lleva en su espalda una concha de roca. Presenta unos largos ojos negros y unas pinzas naranjas puntiagudas.",
eelektrik,"Azul, Eelektrik está basado en una fusión entre una lamprea y una anguila eléctrica.",
eelektross,"Azul, Eelektross está basado en una lamprea y una anguila eléctrica.",
eevee,"Marrón, Eevee está basado en un pequeño zorro. Posee largas orejas puntiagudas y una cola en forma de pincel. Su cuerpo, de constitución física ágil y flexible, está adaptado a la velocidad y la agilidad. El color predominante de su pelo es el marrón oscuro, con un tono crema en el cuello y en el final de la cola. La zona del cuello presenta un pelaje más denso y largo. Sus ojos tienen un tono marrón. Su pelaje es suave y corto.",
eiscue,"Azul, Eiscue está basado tanto en un cubito de hielo como en un pingüino, probablemente en un pingüino emperador, debido a la similitud de su plumaje.",
ekans,"Morado, Este Pokémon esta basado en una serpiente, por su apariencia se asemeja a una serpiente de cascabel, sin embargo Ekans no es venenoso. De tonalidad púrpura tiene un cascabel en la cola, un anillo en el cuello y un vientre de color amarillo.",
eldegoss,"Verde, Eldegoss está basado en una planta de algodón abierta mostrando sus semillas. Cuando Gossifleur evoluciona a Eldegoss, su flor se abre y deja salir un gran pompón de pelusa algodonada que actúa a modo de cabello que recubre su cabeza, decorado con varias semillas. Su rostro está más descubierto, y desarrolla su cuerpo teniendo una parte amarilla en el cuello similar a un pañuelo.",
electabuzz,"Amarillo, Electabuzz es un Pokémon bastante violento y fuerte. No se deja ver mucho en hábitats distintos a las plantas de energía, en las que se alimenta de la electricidad que se genera en ellas. También se le puede encontrar en sabanas despejadas. ",
electivire,"Amarillo, Posee un aspecto muy robusto y macizo que conserva de sus pre-evoluciones, pero a diferencia de estas tiene una figura de un enchufe en su espalda. Sus dos colas le permiten atacar con gran fuerza, se pueden extender y atrapar a su rival y las usa para impulsarse para dar grandes saltos, además son su fuente de energía y absorben su electricidad. Lanza descargas eléctricas de más de 20.000 voltios.",
electrike,"Verde, Electrike es un Pokémon de color verde con marcas amarillas. Tiene en la cabeza una cresta grande. Su hocico es de color amarillo, del que le sale una línea que llega hasta la frente, rodeando los ojos y que llega hasta el final de la cresta. Tiene cuatro colmillos que son visibles cuando su boca está abierta. Cuenta con una raya amarilla en su espalda. Cada una de sus cuatro patas tiene un pico, los cuales en sus patas traseras son más largos, sus pies tienen tres dedos. Cuenta con una pequeña cola, la cual tiene la punta amarilla.",
electrode,"Rojo, Electrode se asemeja a un Voltorb, pero mucho más grande. Tiene una forma parecida a una Poké Ball con los colores invertidos. Tiene unos ojos y una boca con una sonrisa burlona. ",
elekid,"Amarillo, Elekid está basado en un enchufe de tipo A, los más comunes en Estados Unidos, Latinoamérica y Japón. El cuerpo redondo de Elekid es amarillo, a excepción de dos franjas negras que rodean su torso y sus antebrazos. En el centro de su barriga también presenta un dibujo negro de un rayo. No tiene cola ni dedos en los pies. Tiene dos antenas en su cabeza parecidas a los dientes de un enchufe.",
elgyem,"Azul, Elgyem es un Pokémon con aspecto de alien del tipo gris. Tiene la capacidad de flotar o levitar en el aire y tiene una especie de dibujo pintado en su cabeza. Se cree que este Pokémon pudo provenir del espacio.",
emboar,"Rojo, Emboar está basado en un cerdo o jabalí y un luchador. Posee una especie de barba en llamas. Los símbolos de su faja se parecen al símbolo de infinito. Sus piernas tienen detalles negros con dorado dándoles un parecido curioso a las botas de un luchador. Está basado, al igual que Infernape, en la leyenda japonesa del rey mono y el rey jabalí, quienes se supone que inventaron las artes marciales, concretamente en Zhu Bajie.",
emolga,"Blanco, Emolga está basado en una ardilla voladora japonesa. Su coloración es blanca y su espalda negra grisácea. Posee ojos y nariz pequeños y sus mejillas son amarillas. Las orejas, situadas en la parte superior de su cabeza, tienen forma redondeada y un color negro, con secciones de color amarillo y blanco en la pigmentación del interior de sus oídos. Emolga posee membranas de piel en forma de ala, de color amarillo. Sus patas son de color blanco y bastante pequeñas, y su cola de color negro es una forma un tanto irregular, similar a un ala.",
empoleon,"Azul, Empoleon está basado en un pingüino emperador. Además, debido a su pico con aspecto de tridente también recibe influencia de Poseidón, el dios del mar en la mitología griega. Empoleon tiene la mayor parte del cuerpo de color azul marino a excepción de los bordes de sus alas y parte de su cara y torso, que son de un tono azul claro. Sus patas y pico, por su parte son de color amarillo y este último tiene tres cuernos con forma de tridente. En su pecho tiene también un área de color blanco. El cuerpo de Empoleon adquiere zonas metálicas que lo ayudan a la hora de soportar ataques. En sus alas con forma de aleta posee garras para poder cortar hielo sin problemas y le permiten defenderse con más facilidad.",
entei,"Marrón, Entei es un Pokémon de tipo fuego muy enigmático, se rumorea que cada vez que un nuevo volcán aparece en la Tierra a su vez nace un nuevo Entei. Cuando ruge, los volcanes entran en erupción, y como es incapaz de contener sus tremendos poderes, siempre está en constante movimiento.",
escavalier,"Gris, Escavalier está basado en un caballero de justas y en un elátero, escarabajos famosos por alimentarse de caracoles y usar su concha como refugio en su fase larvaria, además, la cresta/penacho de su ""casco"" recuerda mucho a ciertos cascos militares usados en la antigüedad, especialmente los de los oficiales del ejército romano.",
espeon,"Morado, Cuando Eevee recibe amistad por parte de su entrenador y se entrena bien especialmente de día, evolucionará a Espeon. Desarrollará poderes psíquicos sorprendentes. En este caso de Espeon, la inteligencia será su punto fuerte, un poco incomprendido, pero elegante y formal, sus intuiciones serán su mejor cualidad. Posee un carácter muy racional y justo, pero puede hacerse vanidoso, su gran belleza y su apariencia delicada y fina lo hacen perfecto para los concursos",
espurr,"Gris, Espurr está basado en una cría de gato doméstico. Además, por la forma de sus orejas plegadas, tiene mucha semejanza a la raza de gatos Scottish Fold. Su pelaje es de color gris, sus dos grandes ojos son de color morado, y tiene unos mechones de cabello en medio de sus orejas y en las mejillas simulando los bigotes de un felino.",
eternatus,"Morado, Eternatus está basado en el esqueleto de un dragón. Todo su cuerpo parece estar hecho de cristales triangulares que irradian una luz rojiza, lo que probablemente sea energía Dinamax solidificada. Posee cinco pinchos en la parte superior de la cabeza de un cristal rojizo, donde además se pueden visualizar sus ojos.",
excadrill,"Gris, Tiene la apariencia de un gran topo mayor. En su cabeza tiene un enorme cuerno o cresta algo inclinada hacia delante que usa para juntarlo con sus garras y convertirse en su forma taladro, con el cual cava túneles. También posee unas enormes garras muy peligrosas para cualquier enemigo. Las franjas azules de Drilbur se convierten en rojas al evolucionar. Al aguantar alta presión bajo tierra, sus garras y parte de su cuerpo adquieren una dureza mayor y por lo tanto cambian, y se dice que se vuelve de acero puro, tal como sucede con el cuerpo de Onix cuando evoluciona a Steelix.",
exeggcute,"Rosa, Exeggcute está basado en unas semillas con forma de huevo.",
exeggutor,"Amarillo, Exeggutor está basado en un Jinmenju, un árbol yōkai perteneciente al folclore japonés, que se caracterizaba por ser un árbol con frutos en forma de cabezas humanas. También está basado en una palmera cocotera.",
exploud,"Azul, Exploud es grande y de aspecto agresivo, esto es debido a que su cuerpo está formado a modo de cámara de resonancia, por tanto posee tubos a lo largo de su cuerpo, similares a los de un órgano.",
falinks,"Amarillo, Falinks está basado en una falange de tropas. Tanto su estilo de combate como su diseño están basados en esta táctica griega de la falange, que consiste en un ejército que combata con una formación de una única fila de guerreros muy próximos entre ellos. Este Pokémon está formado por seis individuos. El cuerpo de cada uno tiene una forma esférica, sin una boca visible. Sus ojos son de un tono celeste y su piel es negra. Poseen un caparazón dorado y blindado que los protege en combate, en la parte inferior se pueden ver las dos patas cortas negras con base blanca de cada soldado y a ambos costados un escudo dorado con una púa roja. A su vez, todos tienen una cresta roja terminada en cuerno en sus cascos, pero la del líder se caracteriza por ser la de mayor tamaño. Además, el líder es capaz de extender la longitud de este cuerno al cargar contra los oponentes. El líder frecuentemente suele colocar sus dos escudos al frente al atacar para protegerse mejor la cara.",
fearow,"Marrón, Este Pokémon, con forma de una gran ave, tiene una tonalidad marrón con plumas más claras en la punta de sus alas y en su espalda. Tiene un cuello y picos largos y delgados. Sobre su cabeza tiene una cresta con cinco puntas, además de una mirada feroz. Usa sus enormes y magnificas alas para alcanzar gran altura y seguir volando por un día entero sin tener que aterrizar a descansar. Su pescuezo y pico largos le permiten cazar en tierra y en el agua, usando este último con gran habilidad para capturar a sus presas, las cuales pueden ser insectos que se ocultan bajo tierra o peces en mantos acuíferos, también se menciona en la Pocket Monsters Encyclopedia que es incluso capaz de tragarse a un Rattata entero. ",
feebas,"Marrón, Es un Pokémon con capacidad para vivir tanto en agua dulce como salada, por lo que posee un sistema de adaptación muy grande. Sin embargo, es una presa fácil por sus movimientos lentos. ",
fennekin,"Rojo, Fennekin está basado en un fénec, un mamífero carnívoro de la familia de los zorros, que habita en el desierto del Sáhara. Tiene el cuerpo de color amarillo, con detalles en blanco. Sus ojos son alargados y de color anaranjado, al igual que el pelaje que sale de sus orejas, que recuerda a un par de llamas, así como el final de su cola.",
feraligatr,"Azul, Feraligatr está basado en un caimán, aligátor o un cocodrilo. Es de color azul claro, tiene unas placas en los brazos, muslos y cola. Tiene una mancha de color amarillo pálido, igual que Totodile, en la mandíbula inferior y en el vientre. En su lomo tiene unas aletas dorsales de color rojo.",
ferroseed,"Gris, Ferroseed está basado tanto en un durián como en el fruto del cardillo o bardana. Su aspecto es el de una bola metálica cubierta de espinas verdes. Posee unos ojos amarillos contorneados por un borde verdoso.",
ferrothorn,"Gris, Ferrothorn está basado en un durián. El aspecto de este Pokémon se asemeja al de un fruto con espinas. Su cuerpo está formado por una cabeza principal donde tiene los ojos y la boca, y tres tallos verdes a modo de tentáculos acabados en unos apéndices con pinchos. Además de dichas extremidades, presenta todo el cuerpo protegido por pequeñas púas verdes a excepción de sus tallos.",
finneon,"Azul, Finneon es uno de los Pokémon mas elegantes y bellos que hay. Incluso se le llama el Beautifly del mar ya que tiene una preciosa cola en forma de alas de mariposa. Finneon vive principalmente en aguas dulces y saladas, es un tanto tímido y difícil de encontrar. Se requiere de una caña confiable y un buen lugar de pesca para conseguir uno. Son solitarios en agua dulce, pequeñas familias se ocultan en cuevas y otras exigencias del relieve acuático, pero en el mar se los ve en enormes cardúmenes. Quien vaya a los mares cercanos a las costas y pase un tiempo apreciando el agua notara que el resplandor de la cola de un Finneon brilla asiduamente ya que si se expone mucho al sol los dibujos de sus aletas brillan en la oscuridad.",
flaaffy,"Rosa, Su aspecto está basado físicamente en una oveja, con un pelaje lanudo alrededor de su cuello y en su cabeza, y conceptualmente en el título de la novela de Philip K. Dick ""¿Sueñan los androides con ovejas eléctricas?"". Tanto sus orejas como su cola tienen líneas rosadas y negras y ésta última termina en una bola azul.",
flabebe,"Blanco, Este Pokémon está basado en las pixies, hadas pequeñas que revolotean por las flores pertenecientes al folclore británico, descritas por Shakespeare, o bien en las alseides.",
flapple,"Verde, Flapple está basado en un gusano que ataca las manzanas, como la larva de la polilla del manzano y en una salamanquesa (geco común). Tiene la forma de una piel de manzana con un pequeño reptil alargado dentro de ella de color verde claro. Sus extremidades están adheridas a la parte interior de la manzana, pudiendo volar usando la cáscara. Conserva sus ojos saltones, pero a diferencia de Applin ahora los tiene de color amarillo y pegados a los lados de la parte superior. Posee también un pequeño cuerno verde en su cabeza.",
flareon,"Rojo, Si se le expone a Eevee una piedra fuego, evolucionará a Flareon, convirtiéndose en un Pokémon de Fuego, por lo que su nobleza y exuberancia crecerán deprisa. Es el más fiel de todos, pero también su pereza será notable a menos que no se le mime tanto. Tiene un carácter un tanto tranquilo y alegre, pero cuando se enfada por algo grave, puede convertirse en todo un luchador, ya que posee un temperamento paciente pero explosivo.",
fletchinder,"Rojo, Fletchinder está basado en un ruiseñor japonés.",
fletchling,"Rojo, Fletchling está basado en un ruiseñor japonés, aunque también posee alguna similitud con un petirrojo europeo. Tiene la cabeza de color rojo anaranjado y el resto de su cuerpo gris claro, a excepción de su cola, que es negra con una raya blanca en medio, y el pequeño triángulo amarillo que tiene al lado de los ojos. Posee unas patas negras muy delgadas que le ayudan a correr rápido en caso de que le cueste volar.",
floatzel,"Marrón, Floatzel está basado tanto en una nutria como en una comadreja. Posee en su estómago una marca naranja en forma de gota de agua y en la espalda una mancha blanca, si es hembra, o dos, si es macho. También tiene una mancha blanca en la cabeza.",
floette,"Blanco, Floette tiene un pequeño cuerpo blanco con una especie de coletas sujetas con un adorno de color amarillo. Sus pestañas y su cola son de color verde y esta última tiene forma de pica. Floette va siempre acompañada de una flor de cinco pétalos con tres estambres y una hoja. Los pétalos de la flor pueden ser de color rojo, amarillo, naranja, azul o blanco.",
florges,"Blanco, Al igual que Flabébé y Floette, Florges está basado en un pixie de Shakespeare. Florges también está basado en Titania, conocida en otra de sus obras por ser la reina de las hadas, o a las alseides.",
flygon,"Verde, Flygon es una mezcla entre un dragón y una hormiga león adulta, un insecto con un gran parecido a las libélulas. Tiene un cuerpo largo de color verde con dos patas traseras cortas sin dedos, dos pequeños brazos y una larga cola que termina en tres rombos que forman una especie de abanico. Posee dos grandes alas verdes perfiladas en rojo con forma de rombo que le permiten volar. Sus ojos están cubiertos por unas membranas protectoras con forma de burbuja de color rojo intenso, las cuales protegen sus ojos en las tormentas de arena. Tiene un par de largas antenas semejantes a las de algunos insectos encima de su cabeza.",
fomantis,"Rosa, Fomantis está basado tanto en una mantis orquídea como en una orquídea real. Fomantis es un pequeño Pokémon con aspecto de planta. Tiene grandes ojos rojos y oscuros con pupilas un poco más oscuras. Mechones de pelo verde claro rodean su cabeza. Un mechón particularmente grande en frente sobresale ligeramente sobre su cara. Una pequeña bombilla verde oscura brota del centro de su cabeza. Alrededor de su cuello hay un collar de hojas cortas, de color verde oscuro. Extendiéndose de su cuello son cuatro hojas más claras verdes con puntas blancas: dos en la parte delantera y dos en la parte posterior. En el frente, estas hojas actúan como brazos de guadaña. Su cuerpo principal es de color rosa pálido con una gruesa franja de color rosa oscuro en la parte delantera y trasera.Tiene una cola rechoncha y dos piernas cortas.",
foongus,"Blanco, Foongus está basado tanto en una Amanita muscaria como en una Poké Ball.",
forretress,"Morado, Los Forretress normalmente viven arraigados a un árbol y se alimentan de Pokémon distraídos que pasan cerca de ellos (Caterpie, Weedle, Wurmple). Pueden girar y cerrar su coraza en torno a ellos y en algunos casos retrae sus picos y cuernos para protegerse a sí mismos.",
fraxure,"Verde, Fraxure está basado en un dinosaurio. Tiene como colores predominantes el verde oscuro y el negro. Tiene una cuchilla en la mandíbula superior.",
frillish,"Blanco, Frillish está basado en una medusa común y en un fantasma marino.",
froakie,"Azul, Froakie está basado en una rana coquí, que del huevo nace como una rana desarrollada completamente. Froakie posee un cuerpo de color celeste con una franja azul oscura entre sus ojos de color amarillo y pupilas negras. Tiene una especie de espuma de color blanco en su nariz y a su vez éste también rodea su cuello y llega hasta la espalda. Tiene una coloración blanca en sus manos que se asemejan a guantes.",
frogadier,"Azul, Frogadier está basado en una rana y en un ninja.",
froslass,"Blanco, Froslass está basada en la yuki-onna, una Yōkai del folclore japonés. Al igual que Froslass, se cree que la Yuki-onna es el espíritu de una mujer que murió en la nieve, este espectro se aparece a los viajeros como una bella mujer en la nieve con bellos ropajes (o sin ningún ropaje) y después los congela dejándolos como estatuas con su aliento (al igual que Froslass con su aliento a 50° bajo cero). También, la piel morada de Froslass sería una referencia a la hipotermia, que es básicamente expirar debido a un frío intenso y que entre sus cualidades está que la piel se le pone azul.",
frosmoth,"Blanco, Frosmoth está basado en una polilla de invierno. Más concretamente, su apariencia parece estar inspirada en la polilla caniche venezolana. Su cuerpo es mayoritariamente blanco. Sus ojos se tornan de un color azul oscuro, y están adornados como si de un antifaz se tratara. Entre sus ojos tiene una pequeña gema oscura con forma de rombo. Sus antenas son carnosas en su base, y ampilas pero delgadas en las puntas. Vuela gracias a sus dos grandes pero finísimas alas, tan finas que se transparentan.",
furfrou,"Blanco, Furfrou está basado en un caniche, raza de caninos los cuales usualmente se les corta el pelo para verse más estilizados. Furfrou tiene el pelaje blanco y la piel negra. Su peinado le dura cinco días, tras los cuales, si no se vuelve a retocar, su pelaje crecerá y volverá a recuperar su aspecto original. Suelen ser Pokémon inteligentes, serios y orgullosos, aunque muy fieles a su entrenador. Además, los caniches eran considerados perros que solo la alta alcurnia poseía en la Edad Media, al igual que sucede Furfrou, que servía de guardián al rey de Kalos.",
furret,"Marrón, Furret está basado en un hurón.",
gabite,"Azul, Gabite está basado en un tiburón martillo.",
gallade,"Blanco, Gallade esta basado en un gladiador, la punta de su cabeza hace referencia a los cascos de los gladiadores romanos de la clase murmillo, pero tambien al casco corintio con crin de caballo griego, su cintura tan voluminosa hace referencia a los haramaki en los tiempos de guerra usados como amuleto de protección, y las poses que adopta Gallade recuerdan a la pose de En garde (en guardia), usada en la esgrima.",
galvantula,"Amarillo, Galvantula está basado en una tarántula.",
garbodor,"Verde, Garbodor está basado en una gran bolsa de basura rota. Garbodor traga basura y la integra en su cuerpo. También procesa en su interior dicha basura para generar gases nocivos y líquidos venenosos. Despide un veneno líquido especialmente nocivo por la punta de los dedos de su mano derecha. La mera exposición a este puede llevar a inhalar accidentalmente raras toxinas desconocidas o acabar con una criatura ya débil al menor contacto. La composición del veneno de Garbodor cambia según la basura ingerida. En los combates apresa a su rival con el brazo izquierdo y le da el golpe de gracia exhalando por la boca un apestoso gas venenoso.",
garchomp,"Azul, Garchomp está basado en un tiburón martillo y en un avión a reacción. Su cuerpo es de color azul grisáceo, aunque posee un vientre rojo con una zona amarilla en la parte inferior. Sobre cada una de sus patas delanteras cuenta con una única garra, ademas, posee un par de pinchos sobre cada brazo y cada pierna. Garchomp posee una marca amarilla en forma de estrella en su frente.",
gardevoir,"Blanco, Gardevoir está basado en una prima ballerina, que es la de mayor rango de una compañía. Sus rasgos finos y pequeños hacen referencia a las anesama ningyou, unas muñecas tradicionales japonesas que se caracterizan por llevar ropas elegantes, y su naturaleza de proteger a su entrenador y cuidarlo, es referencia a los ángeles de la guarda.",
gastly,"Morado, El 95% de su cuerpo está hecho de una masa negra gaseosa con un aura de gas violeta a su alrededor la cual es venenosa, el otro 5% por las almas de aquellos que fallecieron a causa de este gas. Gastly se asemeja al cuerpo de un Hitodama (término del folclore japonés que hace referencia a la aparición de las almas cuando abandonan el cuerpo antes de ir al otro mundo). Presenta dos grandes ojos y una boca con un par de afilados colmillos que sobresalen de ella. ",
gastrodon,"Morado, Azul, Posiblemente esté basado en un Chromodoris lochi una clase de babosa de mar. Si alguna parte de su cuerpo se descompone o se pierde, le crecerá otra vez. Sin duda, su rasgo distintivo es que dependiendo de la zona donde haya nacido (al igual que Shellos) será de un color: en la zona oeste será de color rosa, con cuernos y lomo marrones y en la zona este es de color azul, con un lomo verde y unas orejas similares a algas de color verde también.",
genesect,"Morado, Genesect está basado en los insectos gigantes de la era paleozoica y en un mecha de los habituales en medios de ciencia ficción. Su cuerpo es de metal morado, con una cabeza en forma de platillo, tiene unos grandes ojos rojos y unos huecos pequeños en la parte de arriba de su cabeza. Además, se puede notar que posee una franja blanca que pareciera que es su boca, aunque no la puede abrir.",
gengar,"Morado, Gengar está basado en el concepto del Doppelgänger y en la gente sombra. Gengar es un Pokémon con extremidades pequeñas. Tiene una personalidad siniestra y tenebrosa, sobre todo en estado salvaje. Se dice que por las noches sale a espantar y perder a los viajeros para robar su alma. ",
geodude,"Marrón, Geodude está basado en una roca con cara y brazos.",
gible,"Azul, Gible está basado en un tiburón martillo. Su cuerpo es de color azul, con el vientre rojo y rayas celestes en sus orejas y en la espalda. Es pequeño, con grandes colmillos afilados. Tiene pequeñas extremidades y una gran aleta en la cabeza.",
gigalith,"Azul, Gigalith vive en la profundidad de las minas o más raramente en la cima de las montañas. Absorbe la energía solar a través de los cristales rojos de su cuerpo, la magnifica internamente y la libera por su boca, lo cual puede derribar una montaña. No suele salir mucho de las galerías subterráneas, ya que allí dentro tiene su principal alimento, los minerales. Es un Pokémon grande y lento, pero tiene un gran ataque cuerpo a cuerpo. A veces se le ha visto combatir con Crustle por el territorio.",
girafarig,"Amarillo, Girafarig está basado en una jirafa, pero por su corto cuello y debido al extraño patrón de su pelaje, también tiene cierto parecido a un okapi, el único pariente vivo cercano a las jirafas.",
giratina,"Negro, Giratina está basado en la figura del ángel caído, un ángel que ha sido expulsado del cielo por desobedecer o rebelarse contra Dios. Junichi Masuda también ha mencionado en entrevistas que está basado en la antimateria.",
glaceon,"Azul, Puede hacer que su pelo se convierta en agudas espinas congeladas que puede disparar, esto lo hace cuando está en peligro. Su evasión sube cuando empieza a granizar o a nevar gracias a su habilidad especial, manto níveo. Controla a su voluntad la temperatura de su cuerpo pudiendo llegar hasta los -60 °C y la de su alrededor congelando las partículas de agua que hay en el aire para crear cristales de hielo que pueden convertirse en ráfagas de nieve en polvo. Generalmente esto lo hace al momento de atacar a su presa, quienes quedan congeladas al instante sin darse cuenta, quedándose encandiladas por su belleza. Este Pokémon es muy demandado en las estaciones de esquí quienes los usan para congelar y mantener frías las instalaciones.",
glalie,"Gris, Glalie es una esfera de hielo con dos cuernos. Bajo su gran armadura de hielo se esconde un cuerpo rocoso. Congela a sus enemigos para luego comerlos lentamente con sus grandes mandíbulas. Se encuentra en la región Hoenn, pesa 256 kg y mide 1,5 metros. Tiene unos ojos azules con los que, con una mirada potente, encandila a sus presas.",
glameow,"Gris, Glameow es famoso por ser imprevisible, araña cuando está enfadado y ronronea cuando esta cariñoso, tiene tendencia a ser bastante rencoroso, ya que rasguñara la nariz de su entrenador si no le da de comer. Hipnotiza a sus victimas con su fija mirada. Se puede añadir que al tener un cuerpo tan flexible le permite evitar la parálisis.",
glastrier,"Blanco, Glastrier está basado en un témpano de hielo y en un destrero, un caballo de guerra frecuentemente usado por nobles y reyes en las justas y torneos medievales. También está basado en el caballo blanco del ajedrez, en contraposición de Spectrier que recuerda al caballo negro. Su parte mitológica se basa en varios conceptos de caballos blancos de la mitología europea:",
